id,shape
-22879845,"212724.94,451867.07 212711.69,451911.07 212682.33,452002.35 212677.88,452008.64"
-233675413#1,"212651.04,451704.74 212570.39,451695.32 212480.59,451686.09"
-233675413#2,"212725.05,451713.44 212703.02,451710.87 212666.69,451706.45 212651.04,451704.74"
-233675413#6,"212801.80,451707.22 212788.40,451711.92 212783.30,451713.72 212764.50,451716.92 212753.83,451716.71 212743.37,451715.68"
-233675413#8,"212892.66,451664.81 212839.75,451691.95 212801.80,451707.22"
-23436553#1,"212567.66,451802.98 212575.71,451803.62 212671.78,451811.25"
-23436553#2,"212582.30,451989.92 212543.01,451979.40 212536.10,451975.06 212534.84,451967.51 212549.70,451898.22 212567.00,451814.59 212567.66,451802.98"
-23436553#3,"212595.11,451987.44 212589.54,451989.90 212582.30,451989.92"
-23436553#4,"212677.88,452008.64 212669.59,452009.91 212658.29,452007.68 212601.55,451991.02 212595.11,451987.44"
-23525483#0,"212487.89,451795.91 212506.49,451796.58 212567.66,451802.98"
-23525483#5,"212377.71,451816.81 212374.48,451810.00 212379.30,451741.18 212382.91,451734.21 212386.79,451733.12 212393.30,451731.28 212474.71,451739.31 212481.12,451739.95 212487.76,451747.30 212491.28,451757.95 212490.31,451768.79 212488.24,451791.98 212487.89,451795.91"
-23525483#6,"212482.82,451823.39 212476.50,451826.16 212382.55,451818.73 212377.71,451816.81"
-23525483#7,"212487.89,451795.91 212485.41,451818.58 212482.82,451823.39"
-24608845,"212871.35,452153.23 212877.26,452124.74 212874.41,452118.19 212837.19,452102.89 212832.32,452098.48"
-24634411,"212929.98,452448.84 212973.51,452370.21 212996.03,452327.53 213043.74,452212.84"
-24634413#0,"213125.07,452245.12 213064.30,452402.40 213049.83,452459.43"
-24634413#2,"213166.75,452049.92 213164.23,452052.44 213154.58,452089.00 213149.96,452127.15 213141.50,452196.97"
-24634414#1,"213215.38,452276.20 213193.34,452351.71 213183.67,452394.53 213180.58,452448.67"
-24634414#2,"213245.36,452164.11 213237.73,452198.37 213235.98,452206.28 213215.38,452276.20"
-24634414#5,"213281.60,452005.70 213272.52,452016.64 213264.50,452067.15"
-24634417,"213298.10,452289.06 213282.71,452406.48 213283.12,452440.10"
-24634505,"212841.86,452198.82 212856.89,452166.36 212861.68,452156.00 212865.61,452153.16 212871.35,452153.23"
-24634506#0,"212951.28,452082.24 212957.24,452088.64 212958.35,452098.96 212946.96,452136.30 212934.99,452174.14"
-24634507,"213105.68,451863.08 213100.70,451860.19 213004.50,451835.53 212901.50,451809.91"
-24634508,"213157.53,451982.00 213084.22,451953.32 213080.15,451948.91 213080.36,451945.61 213105.23,451870.15 213105.68,451863.08"
-24634509#0,"212901.50,451809.91 212909.14,451769.12 212911.97,451763.48 212917.39,451758.97"
-24634509#7,"212847.90,452050.07 212864.47,451994.04 212870.33,451970.54 212871.72,451964.58 212877.95,451932.66 212883.81,451902.66 212889.73,451874.47 212901.50,451809.91"
-24634510#0,"212672.17,452138.05 212719.77,452145.38 212737.04,452150.25 212756.00,452158.11 212841.86,452198.82"
-24634510#15,"211973.52,452077.56 211979.69,452077.86 211988.69,452077.16 212029.59,452063.36 212077.30,452046.51 212101.24,452040.00 212152.41,452038.38 212171.81,452040.26 212207.45,452047.07 212244.03,452054.45 212253.77,452056.74"
-24634510#18,"211894.68,452070.56 211901.05,452071.45 211929.44,452073.56 211939.56,452074.40 211973.52,452077.56"
-24634510#5,"212424.48,452104.45 212452.14,452106.30 212456.69,452106.62 212521.78,452111.02 212540.58,452113.08 212545.65,452113.63 212572.16,452118.34 212603.22,452124.57 212655.42,452135.03 212672.17,452138.05"
-24634510#6,"212337.95,452079.80 212365.59,452089.08 212424.48,452104.45"
-24634510#8,"212253.77,452056.74 212314.17,452073.29 212337.95,452079.80"
-24634513#5,"212063.44,452213.63 212065.14,452209.35 212124.88,452166.98 212143.88,452153.52 212149.19,452149.75 212158.12,452143.42 212192.70,452117.20 212218.52,452094.41 212225.93,452087.73 212246.79,452068.43 212253.77,452056.74"
-24634514#1,"212054.09,452155.45 212059.32,452112.80 212057.35,452109.73 212049.95,452108.86 211974.46,452101.38 211971.63,452098.81 211973.52,452077.56"
-24634516#1,"211931.15,451877.65 211927.45,451878.92 211886.92,451893.47 211842.35,451908.58 211836.38,451912.40 211834.11,451915.34"
-24634516#2,"212010.20,451851.44 211964.91,451865.73 211931.15,451877.65"
-24634517#12,"212293.71,451858.01 212287.20,451857.24 212262.47,451854.29 212251.79,451854.03 212230.08,451853.49 212209.06,451854.72 212204.18,451855.00"
-24634517#16,"212410.65,451892.57 212369.09,451889.53 212346.87,451887.90 212324.36,451874.58 212317.12,451870.02 212304.77,451863.34 212293.71,451858.01"
-24634517#17,"212424.89,451890.33 212417.97,451889.49 212410.65,451892.57"
-24634517#18,"212427.56,451904.29 212430.19,451899.53 212429.05,451894.40 212424.89,451890.33"
-24634517#19,"212410.65,451892.57 212410.45,451897.38 212412.13,451901.80 212416.94,451905.67 212422.16,451907.13 212427.56,451904.29"
-24634517#3,"212052.06,451838.47 212047.88,451824.08 212035.79,451769.54 212021.97,451707.15"
-24634517#5,"212093.16,451863.85 212070.94,451855.89 212058.64,451844.54 212052.06,451838.47"
-24634517#7,"212171.87,451860.73 212144.68,451864.56 212131.12,451865.80 212110.71,451867.03 212093.16,451863.85"
-24634518#0,"212083.83,451908.69 212086.87,451889.68 212089.51,451882.45 212088.71,451872.66 212093.16,451863.85"
-24634518#1,"212088.44,451922.56 212093.24,451921.53 212094.76,451917.67 212092.67,451912.86 212083.83,451908.69"
-24634518#2,"212083.83,451908.69 212083.79,451914.19 212088.44,451922.56"
-24634521#1,"212294.40,451816.22 212294.78,451793.93 212291.53,451789.69 212286.16,451787.34 212216.36,451784.03 212210.70,451787.15 212208.46,451791.20 212206.96,451813.48"
-24693977#1,"213157.53,451982.00 213172.02,451955.66 213185.80,451930.44 213204.26,451896.11"
-25117391#1,"212391.31,452948.01 212348.16,452920.05 212305.38,452888.56 212297.84,452882.80 212292.04,452878.01"
-25122731#1,"211785.99,451141.95 211778.11,451168.26 211776.71,451176.17"
-25136986,"212085.48,451362.79 212075.44,451323.19 212069.23,451287.13 212065.35,451262.37"
-25145011#2,"212801.80,451707.22 212799.07,451677.38 212795.69,451610.18 212796.28,451535.51"
-25145012#6,"212886.36,451535.12 212859.81,451535.91 212829.24,451536.33 212796.28,451535.51"
-25145013#1,"212890.59,451658.55 212886.32,451639.63 212883.72,451622.57 212882.82,451605.93 212883.41,451588.00 212886.36,451535.12"
-25145014#0,"212536.65,451598.84 212577.35,451603.94 212674.36,451614.37"
-25145014#2,"212283.23,451556.24 212284.52,451565.67 212287.62,451571.21 212293.88,451575.78 212303.77,451578.29 212436.37,451590.30"
-25149001#4,"212582.46,451332.22 212615.65,451317.02 212674.22,451277.37"
-25149001#5,"212569.42,451359.06 212572.12,451349.89 212575.80,451339.67 212582.46,451332.22"
-25187896,"212622.56,451520.97 212624.28,451506.26 212628.58,451455.41 212625.52,451447.54 212612.56,451438.86 212493.54,451429.81"
-25190140#1,"212359.82,451328.60 212361.84,451326.33 212401.16,451307.22 212463.58,451283.45 212531.60,451239.77 212563.84,451216.62"
-25190140#2,"212363.17,451347.03 212360.17,451331.80 212359.82,451328.60"
-26642362#1,"212126.24,451558.70 212116.97,451518.74 212100.90,451438.80"
-26642362#5,"212151.02,451665.85 212146.43,451647.47 212145.37,451643.22"
-266565295#5,"213665.40,452155.71 213737.28,452205.11 213779.50,452232.27 213809.54,452248.72"
-26676668,"212668.80,452791.37 212596.78,452755.88 212586.58,452746.45 212582.00,452736.51"
-26677213#5,"212668.80,452791.37 212686.04,452772.48 212704.68,452752.02 212720.67,452734.47 212733.62,452712.07 212744.96,452689.32 212756.19,452665.65 212764.86,452644.07 212783.18,452600.02"
-26677214#2,"212771.16,452859.70 212765.84,452855.00 212760.06,452849.94 212751.64,452843.31 212734.84,452831.33 212703.17,452810.59 212668.80,452791.37"
-26677216#0,"212983.09,452757.41 212961.81,452805.07 212948.82,452834.08 212925.89,452883.49 212907.43,452916.58 212888.19,452944.03 212879.67,452955.22"
-26677216#2,"212985.23,452661.13 212983.50,452674.94 212983.42,452701.24"
-26677216#4,"213021.77,452484.89 212994.58,452620.75 212985.23,452661.13"
-26677416#1,"212975.58,453148.31 212951.10,453165.60 212908.61,453193.23 212895.32,453204.95"
-26677416#3,"213137.09,453009.20 213097.21,453048.13 213060.08,453079.38"
-26677416#7,"213204.93,452924.09 213197.95,452935.05 213193.64,452941.82 213189.15,452948.90 213187.38,452951.67 213174.32,452967.50 213137.09,453009.20"
-26677417#0,"212893.11,453084.80 212922.54,453104.91 212975.58,453148.31"
-26677417#1,"212865.17,453062.84 212870.12,453069.04 212893.11,453084.80"
-26677539,"213003.37,452909.46 213027.30,452923.68 213048.61,452939.08 213137.09,453009.20"
-26677541,"213025.34,453043.50 212973.09,453087.92 212943.32,453059.69 212992.66,453011.49"
-26677542#0,"212865.17,453062.84 212827.38,453095.47 212798.55,453127.91 212753.90,453185.88"
-26677542#1,"212933.76,453002.14 212911.79,453023.65 212865.17,453062.84"
-26678225,"212761.13,452942.56 212766.60,452930.21 212771.16,452859.70"
-28111977#0,"211778.49,451535.70 211694.37,451554.17"
-28111977#10,"212515.67,451338.55 212511.69,451346.89 212507.44,451356.39 212499.45,451364.00 212481.34,451373.05"
-28111977#2,"211955.26,451484.79 211939.64,451496.44 211920.07,451505.63 211897.83,451512.76 211841.38,451523.59"
-28111977#4,"212027.54,451456.83 211988.86,451465.75 211974.50,451471.95 211967.57,451477.50"
-28111977#5,"212100.90,451438.80 212083.61,451446.25 212027.54,451456.83"
-28111977#8,"212400.30,451397.44 212374.91,451402.02 212280.26,451415.90"
-28319300#2,"212241.02,452551.13 212241.17,452565.41 212242.90,452612.39 212245.68,452645.40 212249.82,452685.06 212254.44,452705.73 212261.76,452721.65 212278.81,452742.42 212327.09,452792.86 212335.81,452802.38 212358.00,452826.05"
-285549250#1,"211756.54,451796.68 211744.15,451801.63 211644.12,451841.31"
-286646456#0,"211967.53,452779.80 211931.47,452763.22"
-286646456#2,"212060.38,452807.52 212007.78,452793.43 211967.53,452779.80"
-30482614,"211788.69,451130.88 211785.99,451141.95"
-30482615#4,"212029.47,450766.10 211990.31,450824.09 211984.39,450832.86 211971.15,450852.47 211944.83,450891.43 211929.93,450913.49 211828.64,451063.72 211794.91,451117.46 211789.28,451127.67"
-306240162#1,"211645.51,452880.49 211704.09,452739.76 211708.19,452729.90 211712.58,452719.64 211730.78,452677.54"
-31395281,"212929.66,452074.69 212943.63,452036.24 212950.80,452030.87"
-315358242#0,"213327.17,452740.84 213324.85,452749.70 213305.33,452817.28 213302.82,452824.82 213296.20,452844.75 213275.30,452902.44"
-315358242#2,"213359.56,452604.78 213357.82,452613.29 213349.81,452646.72"
-315358245,"213389.93,452295.98 213382.75,452358.65 213380.05,452394.67"
-315358248#1,"213397.93,452206.54 213395.34,452234.28 213392.86,452262.59 213389.93,452295.98"
-315358250#1,"213030.10,453366.05 213023.03,453376.12"
-315358251#0,"213385.94,452470.45 213385.13,452486.11 213377.10,452524.52 213370.32,452552.50 213359.56,452604.78"
-315358252#1,"213240.97,452982.48 213233.07,452999.41 213211.96,453041.60 213181.76,453101.95"
-315358253#0,"213399.82,452173.63 213398.38,452203.44 213397.93,452206.54"
-315358253#1,"213399.22,452105.64 213398.95,452135.28 213399.82,452173.63"
-315358253#2,"213401.91,452075.93 213399.89,452086.64 213399.17,452095.98 213399.22,452105.64"
-315358254#1,"212210.48,452949.86 212218.63,452959.79 212297.49,453068.45"
-315358255#4,"212210.48,452949.86 212203.16,452941.00 212196.52,452932.38 212176.91,452905.31 212158.22,452877.79 212141.02,452853.59 212137.41,452848.52 212114.19,452829.00 212087.57,452814.99 212060.38,452807.52"
-315358257#2,"212210.48,452949.86 212224.58,452936.89 212239.83,452923.57 212259.57,452906.34"
-315358258,"211998.78,453156.02 212012.85,453123.65 212018.60,453110.89 212024.84,453102.54 212058.61,453077.76 212116.52,453032.41 212146.08,453007.62"
-315392062#4,"212990.66,452191.68 213009.53,452177.64 213049.77,452141.49 213069.11,452121.61 213074.42,452116.14 213088.67,452100.50 213103.59,452078.35 213108.61,452070.08 213115.43,452058.87 213128.34,452035.07 213157.53,451982.00"
-31860333#1,"211841.38,451523.59 211857.24,451599.86 211862.18,451610.54 211873.01,451618.53 211885.53,451618.74 211996.75,451586.57"
-31860333#4,"211825.42,451340.70 211822.18,451353.31 211818.31,451379.01 211817.58,451400.57 211821.74,451422.61 211825.55,451439.15"
-32124745,"213058.28,451623.68 213068.57,451635.60 213082.18,451650.50 213110.15,451681.10 213124.36,451697.44"
-32395288#1,"211704.89,451266.14 211715.55,451264.35 211731.25,451273.56 211736.94,451276.89"
-32395288#2,"211689.58,451272.98 211692.13,451277.00 211696.46,451279.02 211701.20,451278.37 211704.82,451275.27 211706.20,451270.72 211704.89,451266.14"
-32395288#3,"211704.89,451266.14 211701.30,451262.99 211696.58,451262.28 211692.22,451264.23 211689.61,451268.21 211689.58,451272.98"
-32395327#1,"211559.40,451534.55 211569.30,451539.71 211677.06,451516.07 211685.52,451514.21"
-32395352#1,"211594.37,451450.56 211602.18,451457.20 211622.62,451457.55 211647.84,451458.34 211666.67,451458.29 211675.05,451458.20"
-32395361#1,"211622.35,451384.29 211628.96,451392.98 211648.50,451397.31 211668.60,451400.46 211676.57,451401.65"
-32395414#0,"212010.08,451402.09 211999.28,451401.48 211953.88,451412.29 211825.55,451439.15"
-32395414#1,"212027.54,451456.83 212024.83,451442.06 212020.24,451421.77 212016.82,451407.21 212010.08,451402.09"
-32395464,"211955.26,451484.79 211950.87,451478.81 211945.11,451475.39 211929.96,451477.53 211892.69,451485.39 211836.46,451496.41"
-32999434#1,"213220.84,451881.96 213227.79,451898.49 213258.44,451971.37 213267.98,451989.51 213281.60,452005.70"
-37386279,"213264.50,452067.15 213229.66,452060.11 213169.61,452049.39 213166.75,452049.92"
-37681424#0,"211778.49,451535.70 211775.06,451517.36 211754.11,451429.51 211751.67,451405.35 211753.27,451384.22 211756.89,451357.23 211764.61,451326.94"
-37681424#1,"211719.91,451668.53 211727.90,451664.91 211736.61,451662.08 211759.48,451657.22 211790.95,451650.64 211796.40,451647.23 211798.76,451642.97 211798.73,451637.44 211778.49,451535.70"
-37681425#4,"211825.42,451340.70 211848.70,451336.82 211860.78,451332.66 211866.13,451330.45 211880.83,451322.10 211885.37,451318.11 211892.83,451311.57 211900.49,451300.44 211903.64,451291.05 211905.40,451285.79"
-37681425#6,"211764.61,451326.94 211810.97,451337.43 211825.42,451340.70"
-379510292,"212242.08,452459.74 212241.37,452478.16 212241.09,452499.76 212241.02,452507.15 212240.79,452530.48 212241.02,452551.13"
-393420106#1,"211687.53,451555.69 211530.01,451590.73 211516.29,451593.78 211427.88,451613.44 211347.22,451631.39 211313.20,451638.96 211264.73,451649.75 211231.26,451657.18 211189.27,451666.53 211151.67,451674.89 211142.16,451677.01"
-40888350,"213179.54,452472.21 213179.96,452520.62 213174.04,452604.78"
-40888351#0,"213154.37,452892.71 213069.76,452846.84 213037.54,452831.86"
-40888351#2,"213204.93,452924.09 213180.80,452909.11 213154.37,452892.71"
-40888351#6,"213254.25,452951.85 213242.01,452944.97 213234.00,452940.46 213212.14,452928.18 213204.93,452924.09"
-40888354#0,"213171.32,452820.45 213169.62,452851.25 213168.63,452862.95 213165.04,452873.33 213154.37,452892.71"
-40888354#1,"213176.36,452766.99 213172.83,452789.16 213171.32,452820.45"
-40888354#2,"213193.94,452702.34 213185.58,452729.07 213176.88,452763.69 213176.36,452766.99"
-40888356#6,"212386.88,452327.00 212386.00,452343.49 212385.25,452357.54 212384.21,452376.82 212383.45,452391.17 212382.24,452413.75 212382.07,452416.97 212380.98,452437.25"
-40888359,"212451.24,452757.87 212475.52,452781.36 212477.61,452787.60 212474.65,452794.05 212459.77,452810.69 212425.26,452843.41 212397.58,452864.71 212358.00,452826.05"
-41203916#3,"212349.16,452547.92 212340.92,452553.63 212331.50,452553.39 212325.85,452553.26 212241.02,452551.13"
-41203918#1,"212636.53,452933.63 212621.10,452931.55 212598.15,452929.63 212584.85,452924.69 212572.45,452917.32 212559.56,452908.00"
-447569998#1,"213435.07,453003.92 213421.20,453002.39 213352.20,452996.27 213253.89,452987.24"
-53396619#3,"213146.74,452687.03 213159.61,452691.21 213189.99,452701.06 213193.94,452702.34"
-54169231#0,"212883.89,452797.88 212866.78,452835.64 212843.28,452874.17 212826.05,452907.44"
-54169231#1,"212908.04,452747.29 212901.79,452751.75 212883.89,452797.88"
-653473568#1,"212551.74,451351.45 212532.06,451344.15 212522.99,451341.24 212515.67,451338.55"
-653473569#1,"212729.79,451411.84 212693.55,451406.67 212673.67,451402.51 212637.49,451391.12 212608.99,451378.96 212569.42,451359.06"
-653473569#4,"212893.09,451433.20 212841.30,451422.19 212838.37,451421.76 212828.23,451420.25 212803.06,451417.15"
-653473569#5,"212968.39,451454.26 212933.48,451443.16 212893.09,451433.20"
